Step,Normal_Reward_Eps_0,Normal_Reward_Eps_0.01,Normal_Reward_Eps_0.1,Binomial_Reward_Eps_0,Binomial_Reward_Eps_0.01,Binomial_Reward_Eps_0.1,Bernoulli_Reward_Eps_0,Bernoulli_Reward_Eps_0.01,Bernoulli_Reward_Eps_0.1,Normal_Opt_Eps_0,Normal_Opt_Eps_0.01,Normal_Opt_Eps_0.1,Binomial_Opt_Eps_0,Binomial_Opt_Eps_0.01,Binomial_Opt_Eps_0.1,Bernoulli_Opt_Eps_0,Bernoulli_Opt_Eps_0.01,Bernoulli_Opt_Eps_0.1
1,1.547797782634396,1.549546253393525,1.9027815773183128,6.976,6.896,6.58,0.08,0.114,0.142,0.0,0.002,0.01,0.0,0.0,0.016,0.0,0.0,0.008
2,1.6726544542637232,1.6606862817280807,2.243067414537948,6.792,6.838,6.56,0.108,0.1,0.116,0.0,0.002,0.02,0.0,0.002,0.026,0.0,0.0,0.016
3,1.559866908102773,1.7107087016814144,2.3793790905657755,6.798,6.82,6.78,0.116,0.1,0.132,0.0,0.002,0.022,0.0,0.002,0.038,0.0,0.0,0.014
4,1.5627866643254649,1.6828792209662398,2.6319582370704393,6.736,6.756,6.718,0.122,0.096,0.16,0.0,0.002,0.028,0.0,0.004,0.054,0.0,0.002,0.03
5,1.5526470901411276,1.8339228616607979,3.0133121040449704,6.838,6.79,6.764,0.114,0.124,0.148,0.0,0.002,0.036,0.0,0.004,0.054,0.0,0.002,0.036
6,1.537340277020827,1.9432527970779832,3.379437407655386,6.842,6.81,6.742,0.086,0.114,0.164,0.0,0.006,0.048,0.0,0.004,0.066,0.0,0.002,0.046
7,1.6288091899744561,1.8009820277774535,3.6177089348226854,6.888,6.924,6.9,0.088,0.116,0.172,0.0,0.006,0.05,0.0,0.006,0.062,0.0,0.002,0.05
8,1.6125340382256947,1.8057122483375907,3.729415109575973,6.758,6.834,6.956,0.104,0.106,0.184,0.0,0.004,0.054,0.0,0.006,0.078,0.0,0.002,0.046
9,1.57834332902312,1.963269227875472,4.05811649230301,6.822,6.878,6.994,0.116,0.094,0.184,0.0,0.006,0.066,0.0,0.008,0.088,0.0,0.002,0.056
10,1.59259931344009,2.0560186913604945,4.4009081004997,6.894,6.932,7.098,0.092,0.09,0.192,0.0,0.008,0.07,0.0,0.008,0.1,0.0,0.002,0.064
11,1.5598694705180043,2.005388458012352,4.476924570188059,6.894,7.024,7.092,0.074,0.098,0.178,0.0,0.008,0.086,0.0,0.008,0.102,0.0,0.004,0.062
12,1.6203080369340308,2.135075316327782,4.837605118205894,6.826,6.892,7.264,0.11,0.108,0.22,0.0,0.01,0.082,0.0,0.008,0.114,0.0,0.002,0.08
13,1.6032798893255105,2.12591907060931,5.023528614933821,6.944,6.904,7.054,0.092,0.108,0.204,0.0,0.012,0.096,0.0,0.008,0.12,0.0,0.002,0.098
14,1.5520975188518122,2.2070234389683145,5.268930578130597,6.728,6.79,7.286,0.108,0.114,0.196,0.0,0.014,0.112,0.0,0.01,0.122,0.0,0.002,0.094
15,1.5141745017694543,2.1967444001761876,5.205689257208954,6.836,6.866,7.216,0.098,0.118,0.242,0.0,0.014,0.116,0.0,0.01,0.13,0.0,0.002,0.104
16,1.5634907990895286,2.166246333319559,5.370144022566402,6.842,6.806,7.264,0.112,0.134,0.222,0.0,0.014,0.114,0.0,0.012,0.13,0.0,0.004,0.112
17,1.5190405926730168,2.324830920193158,5.68512804829196,6.866,6.926,7.268,0.102,0.134,0.238,0.0,0.014,0.126,0.0,0.012,0.138,0.0,0.006,0.112
18,1.6566847115009966,2.271410619696054,5.635340735980809,6.93,6.876,7.388,0.104,0.14,0.246,0.0,0.014,0.134,0.0,0.014,0.136,0.0,0.004,0.112
19,1.4906658878596313,2.3458028040206615,5.900057720094623,6.804,6.77,7.194,0.122,0.13,0.264,0.0,0.014,0.132,0.0,0.014,0.132,0.0,0.008,0.12
20,1.5606759646850277,2.504576465688594,5.938071991144658,6.952,6.948,7.38,0.082,0.118,0.248,0.0,0.016,0.146,0.0,0.018,0.152,0.0,0.008,0.116
21,1.6037461937241608,2.3441858270297207,6.066193705932377,6.822,6.878,7.428,0.128,0.144,0.236,0.0,0.016,0.16,0.0,0.02,0.154,0.0,0.008,0.138
22,1.5668060402835573,2.3828580585089947,6.077730331596571,6.792,6.932,7.476,0.11,0.114,0.254,0.0,0.016,0.168,0.0,0.018,0.166,0.0,0.008,0.14
23,1.5387181398735879,2.491279936763158,6.2326706399161225,6.668,6.972,7.296,0.13,0.134,0.286,0.0,0.02,0.172,0.0,0.022,0.152,0.0,0.008,0.14
24,1.5024445094640795,2.4046838392135275,6.256374779629192,6.864,7.022,7.554,0.114,0.11,0.29,0.0,0.02,0.176,0.0,0.024,0.162,0.0,0.01,0.152
25,1.5812834719098583,2.442695851887957,6.473738803684521,6.902,6.956,7.498,0.096,0.132,0.274,0.0,0.022,0.182,0.0,0.024,0.172,0.0,0.008,0.148
26,1.6527295165854636,2.6604966632320695,6.620241931533515,6.812,6.966,7.486,0.114,0.104,0.282,0.0,0.024,0.2,0.0,0.024,0.178,0.0,0.008,0.166
27,1.6052484717380564,2.5681797533892765,6.728490023180038,6.916,6.958,7.63,0.082,0.142,0.3,0.0,0.026,0.192,0.0,0.026,0.174,0.0,0.008,0.17
28,1.57734083742613,2.6765123543881875,6.80484729717508,6.964,6.91,7.52,0.1,0.132,0.316,0.0,0.026,0.216,0.0,0.024,0.176,0.0,0.008,0.164
29,1.5451593037431082,2.6658217053661826,7.10157565470128,6.892,7.004,7.692,0.084,0.12,0.318,0.0,0.026,0.214,0.0,0.028,0.198,0.0,0.008,0.178
30,1.650676890624648,2.7039389324057246,6.919518494248121,6.824,7.138,7.658,0.122,0.116,0.3,0.0,0.026,0.23,0.0,0.028,0.196,0.0,0.008,0.17
31,1.5290162963296272,2.7399734808436813,7.143503488192095,6.844,7.074,7.836,0.106,0.104,0.328,0.0,0.026,0.234,0.0,0.034,0.198,0.0,0.008,0.178
32,1.492989415004433,2.7335025050602657,7.281880879248569,6.754,7.038,7.854,0.102,0.134,0.288,0.0,0.026,0.25,0.0,0.036,0.19,0.0,0.01,0.186
33,1.6663138121844097,2.8773219650508945,7.2486535548015185,6.846,6.994,7.696,0.11,0.136,0.328,0.0,0.028,0.256,0.0,0.036,0.214,0.0,0.012,0.18
34,1.5444175677237058,2.9006190992441545,7.405485079133079,6.874,6.92,7.814,0.078,0.144,0.338,0.0,0.03,0.256,0.0,0.034,0.204,0.0,0.012,0.196
35,1.556830755796677,2.9186063078078575,7.3270408721255,6.912,7.126,7.91,0.096,0.112,0.328,0.0,0.03,0.26,0.0,0.036,0.232,0.0,0.014,0.192
