Step,Normal_Reward_Tau_0.1,Normal_Reward_Tau_1,Normal_Reward_Tau_5,Binomial_Reward_Tau_0.1,Binomial_Reward_Tau_1,Binomial_Reward_Tau_5,Bernoulli_Reward_Tau_0.1,Bernoulli_Reward_Tau_1,Bernoulli_Reward_Tau_5,Normal_Opt_Tau_0.1,Normal_Opt_Tau_1,Normal_Opt_Tau_5,Binomial_Opt_Tau_0.1,Binomial_Opt_Tau_1,Binomial_Opt_Tau_5,Bernoulli_Opt_Tau_0.1,Bernoulli_Opt_Tau_1,Bernoulli_Opt_Tau_5
1,5.365332388761143,5.679468310182864,5.5709975607839555,5.196,5.162,5.13,0.534,0.51,0.462,0.09,0.09,0.088,0.104,0.094,0.082,0.12,0.09,0.11
2,5.616064153336637,6.243701255666115,5.749072384056631,5.386,5.738,5.404,0.594,0.5,0.492,0.09,0.108,0.098,0.106,0.128,0.106,0.17,0.1,0.108
3,5.592027779666077,6.59699537142948,6.0636128380099565,5.436,6.04,5.812,0.664,0.564,0.534,0.09,0.116,0.114,0.108,0.15,0.12,0.19,0.102,0.12
4,5.476803687324742,6.8729867809527825,6.259440368416337,5.532,6.37,5.906,0.728,0.558,0.498,0.09,0.12,0.122,0.108,0.158,0.122,0.214,0.13,0.108
5,5.443723593111556,6.965386741925498,6.113288117264091,5.584,6.402,5.956,0.702,0.564,0.52,0.09,0.124,0.122,0.108,0.166,0.146,0.224,0.108,0.126
6,5.475715822972601,7.089886789274219,6.3201916906243,5.442,6.574,5.978,0.764,0.544,0.548,0.09,0.126,0.146,0.108,0.176,0.126,0.23,0.12,0.108
7,5.568442049126475,7.121527803796412,6.169112049133664,5.628,6.472,5.798,0.752,0.562,0.514,0.09,0.13,0.128,0.11,0.174,0.152,0.236,0.134,0.122
8,5.592969712403818,7.216759695623676,6.60485110523025,5.54,6.642,6.01,0.77,0.546,0.542,0.09,0.132,0.152,0.11,0.182,0.156,0.242,0.128,0.098
9,5.458835130025035,7.177253658401914,6.534758051946778,5.628,6.514,5.988,0.748,0.54,0.504,0.09,0.132,0.162,0.11,0.184,0.146,0.246,0.122,0.13
10,5.491330876048455,7.348406310403096,6.583890838970454,5.508,6.654,6.29,0.798,0.57,0.526,0.09,0.134,0.148,0.11,0.184,0.16,0.252,0.138,0.11
11,5.586349025973576,7.256162095865529,6.598500460982038,5.676,6.586,6.27,0.786,0.616,0.552,0.09,0.134,0.156,0.11,0.184,0.158,0.256,0.132,0.112
12,5.618861529346634,7.325587485670308,6.5820990761431775,5.566,6.754,6.108,0.776,0.604,0.54,0.09,0.134,0.156,0.11,0.186,0.162,0.254,0.144,0.11
13,5.561658114388932,7.387199285893171,6.791901051141152,5.528,6.818,6.2,0.79,0.53,0.532,0.09,0.136,0.142,0.11,0.184,0.14,0.258,0.13,0.114
14,5.523467427130249,7.452186733854377,6.6243169277378735,5.648,6.78,6.03,0.806,0.542,0.532,0.09,0.136,0.156,0.112,0.188,0.174,0.262,0.132,0.1
15,5.582376577467626,7.484479967999442,6.855348958680895,5.64,6.762,6.278,0.778,0.548,0.518,0.09,0.138,0.168,0.112,0.188,0.154,0.264,0.136,0.11
16,5.5269143065250805,7.42579137212987,6.793825491638742,5.682,6.816,6.122,0.818,0.568,0.518,0.09,0.138,0.158,0.112,0.19,0.158,0.264,0.156,0.098
17,5.552677758084288,7.4951518276193205,6.730054617472985,5.658,7.016,6.24,0.784,0.556,0.516,0.09,0.14,0.166,0.112,0.194,0.17,0.266,0.146,0.126
18,5.516352111018996,7.4445607628170345,6.624421321256938,5.638,6.912,5.978,0.8,0.574,0.544,0.09,0.138,0.184,0.112,0.194,0.178,0.266,0.15,0.112
19,5.519688046327039,7.397825142842116,6.832496202082021,5.642,6.998,6.332,0.816,0.618,0.526,0.09,0.142,0.134,0.112,0.196,0.18,0.266,0.14,0.112
20,5.498435681179244,7.542790326985008,6.858350567589269,5.602,6.966,6.444,0.802,0.556,0.528,0.09,0.142,0.156,0.112,0.202,0.18,0.266,0.14,0.124
21,5.584602163686168,7.437017504891755,6.791314855878297,5.724,7.132,6.402,0.822,0.602,0.52,0.09,0.14,0.166,0.112,0.21,0.174,0.27,0.144,0.088
22,5.589021505750413,7.467034197822241,6.748506297300861,5.684,7.016,6.138,0.81,0.592,0.546,0.09,0.142,0.174,0.112,0.206,0.164,0.27,0.144,0.108
23,5.586144682756208,7.4063407051887005,6.815657411932347,5.76,6.99,6.058,0.828,0.58,0.56,0.09,0.142,0.182,0.112,0.208,0.192,0.272,0.166,0.116
24,5.625564917600277,7.407384890267657,6.822867722567778,5.65,7.07,6.382,0.814,0.62,0.544,0.09,0.144,0.166,0.112,0.204,0.17,0.268,0.138,0.114
25,5.54714679951237,7.602262057015599,6.800984354895987,5.7,7.124,6.478,0.834,0.572,0.496,0.09,0.144,0.194,0.112,0.21,0.186,0.272,0.116,0.116
26,5.5498785701367055,7.4343538487359355,7.007373234185789,5.768,7.124,6.246,0.844,0.598,0.514,0.09,0.144,0.19,0.112,0.21,0.158,0.274,0.15,0.11
