Step,Normal_Reward_k_0.1,Normal_Reward_k_1,Normal_Reward_k_5,Binomial_Reward_k_0.1,Binomial_Reward_k_1,Binomial_Reward_k_5,Bernoulli_Reward_k_0.1,Bernoulli_Reward_k_1,Bernoulli_Reward_k_5,Normal_Opt_k_0.1,Normal_Opt_k_1,Normal_Opt_k_5,Binomial_Opt_k_0.1,Binomial_Opt_k_1,Binomial_Opt_k_5,Bernoulli_Opt_k_0.1,Bernoulli_Opt_k_1,Bernoulli_Opt_k_5
1,1.447469093677777,1.4644270907214378,1.4784499205941222,3.57,3.482,3.608,0.76,0.78,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.37481708968663,2.3377160301718165,2.3445365435157215,4.144,4.09,4.216,0.254,0.242,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.2654371041670218,1.225115731238562,1.1989125497316997,8.878,8.712,8.872,0.748,0.676,0.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.429094812038223,4.335236889520583,4.441676384839242,2.314,2.37,2.482,0.036,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6.442706993265598,6.426931515707449,6.351028263646434,7.006,7.034,6.972,0.802,0.83,0.806,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
6,7.57533108435812,7.570948245973728,7.588489585644497,9.838,9.816,9.858,0.032,0.032,0.024,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
7,8.774018498962834,8.76189678468935,8.920805139258952,1.65,1.638,1.544,0.104,0.104,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9.48405248227225,9.58228378958711,9.529623731699882,7.902,7.792,7.942,0.026,0.036,0.022,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,6.41288253112591,6.3640633977198675,6.447606785283049,1.142,1.222,1.134,0.386,0.414,0.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,7.34864320821589,7.340523565305805,7.404742294453747,4.812,4.844,4.77,0.362,0.366,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,9.164544508793686,9.219792683198866,9.171948210265953,9.434,9.446,9.268,0.724,0.66,0.7,0.642,0.674,0.61,0.614,0.66,0.586,0.046,0.05,0.042
12,9.233588102781145,9.223973555413684,8.679479668291814,9.642,9.59,8.94,0.614,0.574,0.576,0.678,0.662,0.334,0.862,0.88,0.398,0.234,0.248,0.24
13,9.254232057921113,9.30135795310136,8.049910678971779,9.602,9.634,8.172,0.62,0.632,0.592,0.702,0.702,0.244,0.836,0.856,0.208,0.484,0.484,0.402
14,9.411388577703388,9.31932273993523,7.9425061257092855,9.716,9.5,8.798,0.542,0.578,0.412,0.758,0.736,0.222,0.928,0.78,0.498,0.252,0.262,0.12
15,9.4132881588095,9.260111500797208,8.053188330370986,9.752,9.536,8.494,0.632,0.612,0.304,0.768,0.742,0.306,0.926,0.83,0.41,0.246,0.246,0.07
16,9.37798343405577,9.288704238381165,8.0130265298765,9.764,9.658,8.55,0.666,0.606,0.164,0.774,0.764,0.27,0.958,0.904,0.382,0.32,0.296,0.086
17,9.383913470481957,9.260155460023633,7.996364732357335,9.804,9.49,8.382,0.706,0.672,0.082,0.804,0.764,0.34,0.964,0.762,0.404,0.4,0.304,0.034
18,9.419942551430715,9.25839714126416,8.00765866381695,9.846,9.58,8.266,0.682,0.63,0.06,0.814,0.776,0.276,0.978,0.832,0.424,0.362,0.302,0.006
19,9.481630670772182,9.327673709112883,7.983141356129889,9.8,9.668,8.382,0.712,0.532,0.182,0.808,0.77,0.306,0.982,0.898,0.428,0.394,0.244,0.0
20,9.461517411820337,9.303461828453418,8.170285924803824,9.784,9.79,8.472,0.7,0.44,0.334,0.814,0.77,0.358,0.986,0.962,0.432,0.392,0.142,0.0
21,9.463880843505429,9.333585460515781,8.168092214781575,9.844,9.78,8.21,0.756,0.326,0.73,0.822,0.762,0.35,0.988,0.956,0.402,0.422,0.172,0.14
22,9.463827743842659,9.32170956512084,8.2357742029264,9.85,9.826,7.578,0.77,0.284,0.646,0.836,0.822,0.36,0.986,0.978,0.332,0.438,0.13,0.314
23,9.422388736438538,9.319885056692222,8.163299791234335,9.812,9.794,8.296,0.746,0.22,0.604,0.838,0.836,0.354,0.988,0.952,0.418,0.43,0.064,0.312
24,9.447814614857386,9.349814219047119,8.236935786846624,9.776,9.79,8.602,0.706,0.226,0.438,0.834,0.844,0.39,0.99,0.95,0.49,0.43,0.046,0.148
25,9.442526395012958,9.369724671620071,8.202518875047023,9.832,9.802,8.718,0.744,0.35,0.306,0.838,0.852,0.356,0.992,0.976,0.438,0.444,0.074,0.048
26,9.518500362859871,9.367178808730822,8.251128129919646,9.814,9.718,8.53,0.724,0.4,0.214,0.836,0.878,0.334,0.992,0.922,0.446,0.454,0.104,0.022
27,9.455075478994312,9.412714533789812,8.179840611092601,9.82,9.752,8.198,0.762,0.474,0.102,0.832,0.864,0.382,0.992,0.95,0.452,0.45,0.172,0.014
28,9.38467996214298,9.483585224468591,8.160330772429756,9.82,9.798,7.908,0.742,0.48,0.058,0.836,0.88,0.344,0.99,0.958,0.416,0.458,0.158,0.002
29,9.459193417893633,9.424674841469026,8.306753691818328,9.842,9.734,7.752,0.784,0.536,0.128,0.84,0.894,0.404,0.99,0.944,0.38,0.446,0.186,0.0
30,9.384081545044863,9.469933950759732,8.104388270378445,9.832,9.802,8.298,0.774,0.6,0.232,0.846,0.892,0.356,0.992,0.962,0.436,0.454,0.256,0.0
31,9.394623154170246,9.394449693738283,8.197898210856955,9.782,9.78,8.646,0.718,0.614,0.736,0.85,0.89,0.38,0.992,0.968,0.474,0.448,0.27,0.214
32,9.46919236017401,9.414388238415828,8.108132531541575,9.842,9.758,8.848,0.774,0.634,0.678,0.846,0.898,0.382,0.99,0.948,0.542,0.442,0.284,0.31
33,9.431536256925343,9.515628786948337,8.255946852160914,9.824,9.782,8.924,0.746,0.706,0.594,0.848,0.904,0.394,0.992,0.95,0.512,0.458,0.34,0.32
34,9.483540075795567,9.425180368134823,8.238253282842798,9.844,9.776,8.94,0.748,0.656,0.42,0.852,0.916,0.4,0.992,0.966,0.546,0.464,0.316,0.106
35,9.358084566232213,9.419247602629506,8.23982692347629,9.86,9.804,8.722,0.772,0.67,0.374,0.852,0.914,0.406,0.992,0.978,0.512,0.452,0.326,0.09
36,9.472746990240374,9.468695512355085,8.161140958193837,9.814,9.838,8.522,0.756,0.7,0.488,0.852,0.914,0.404,0.992,0.986,0.496,0.44,0.356,0.116
37,9.467489448295048,9.38629860466507,8.322894318311123,9.802,9.82,8.156,0.716,0.688,0.582,0.86,0.896,0.43,0.992,0.98,0.494,0.448,0.298,0.242
38,9.429876478893053,9.500615217462977,8.246365446110302,9.802,9.824,7.346,0.728,0.662,0.504,0.854,0.92,0.416,0.992,0.984,0.406,0.46,0.358,0.21
39,9.45719887565383,9.427776055149605,8.161430245161567,9.85,9.848,7.938,0.78,0.672,0.304,0.854,0.912,0.384,0.992,0.99,0.456,0.466,0.338,0.132
40,9.393687269876063,9.439576296748397,8.14731035976165,9.83,9.818,8.15,0.75,0.636,0.18,0.858,0.91,0.412,0.992,0.99,0.458,0.452,0.316,0.048
41,9.486816549103512,9.406527170848115,8.222193430727712,9.808,9.822,8.352,0.75,0.628,0.148,0.858,0.918,0.448,0.992,0.98,0.5,0.45,0.314,0.012
42,9.404927336942217,9.528327353022867,8.14446968175937,9.828,9.808,8.662,0.756,0.622,0.196,0.854,0.934,0.398,0.992,0.98,0.522,0.452,0.296,0.008
43,9.49503485206019,9.47165711073102,8.261775344045837,9.794,9.828,9.012,0.732,0.63,0.374,0.86,0.926,0.444,0.992,0.986,0.548,0.468,0.306,0.098
44,9.470478286728119,9.529105189369588,8.120755444683263,9.846,9.804,8.98,0.736,0.588,0.512,0.86,0.938,0.386,0.992,0.988,0.586,0.468,0.298,0.152
45,9.460985972774944,9.408446739085639,8.327161928390458,9.822,9.806,8.85,0.732,0.572,0.578,0.864,0.938,0.442,0.992,0.978,0.534,0.466,0.272,0.226
46,9.441923874508904,9.527498355565658,8.100448993747849,9.806,9.854,9.032,0.738,0.568,0.574,0.864,0.928,0.42,0.992,0.99,0.588,0.464,0.278,0.218
47,9.432771303378557,9.49545667089965,8.43166780737026,9.82,9.81,8.988,0.748,0.594,0.498,0.868,0.936,0.444,0.992,0.98,0.588,0.466,0.296,0.186
48,9.422772456216945,9.46920493180537,8.217594348519556,9.844,9.774,9.02,0.772,0.58,0.464,0.866,0.962,0.452,0.992,0.966,0.586,0.456,0.23,0.164
49,9.44525011010719,9.463645683440477,8.10155233481182,9.838,9.818,9.07,0.724,0.524,0.444,0.864,0.964,0.424,0.992,0.988,0.588,0.456,0.24,0.13
